measurement_data;state_data;mode_probabilities;state_errors
[0., 0., 1., 1., 0., 0.];[-2.14369382e-05, -6.43108147e-04, 7.19863057e-01, 8.33999311e-01, -1.61819837e-06, -1.36102711e-02];[0.4058909, 0.29705455, 0.29705455];[2.14369382e-05, 6.43108147e-04, 2.80136943e-01, 1.66000689e-01, 1.61819837e-06, 1.36102711e-02]
[0.1, 0.1, 1., 1., 0., 0.];[1.41576883e-02, 2.80131147e-03, 6.67433305e-01, 7.72473334e-01, -7.57849639e-04, -8.54084432e-03];[0.42508012, 0.28745994, 0.28745994];[0.08584231, 0.09719869, 0.3325667, 0.22752667, 0.00075785, 0.00854084]
[0.2, 0.2, 1., 1., 0., 0.];[0.03424909, 0.01227311, 0.66915826, 0.72804895, -0.00145085, -0.00960459];[0.43065468, 0.28467266, 0.28467266];[0.16575091, 0.18772689, 0.33084174, 0.27195105, 0.00145085, 0.00960459]
[0.3, 0.3, 1., 1., 0., 0.];[0.05912228, 0.02876083, 0.69017544, 0.69141573, -0.00148174, -0.01038122];[0.43239784, 0.28380108, 0.28380108];[0.24087772, 0.27123917, 0.30982456, 0.30858427, 0.00148174, 0.01038122]
[0.4, 0.4, 1., 1., 0., 0.];[8.90564110e-02, 5.18720969e-02, 7.19275823e-01, 6.60575257e-01, -6.96909983e-04, -1.12118750e-02];[0.43395504, 0.28302248, 0.28302248];[0.31094359, 0.3481279, 0.28072418, 0.33942474, 0.00069691, 0.01121188]
[0.5, 0.5, 1., 1., 0., 0.];[0.124644, 0.08055642, 0.75235639, 0.63512001, 0.00115973, -0.01147781];[0.43699005, 0.28150498, 0.28150498];[0.375356, 0.41944358, 0.24764361, 0.36487999, 0.00115973, 0.01147781]
[0.6, 0.6, 1., 1., 0., 0.];[0.16630631, 0.11337091, 0.78796933, 0.61472239, 0.00422028, -0.01116425];[0.44223703, 0.27888149, 0.27888149];[0.43369369, 0.48662909, 0.21203067, 0.38527761, 0.00422028, 0.01116425]
[0.7, 0.7, 1., 1., 0., 0.];[0.2144627, 0.14913233, 0.82587483, 0.59909161, 0.00873642, -0.01001288];[0.44989358, 0.27505321, 0.27505321];[0.4855373, 0.55086767, 0.17412517, 0.40090839, 0.00873642, 0.01001288]
[0.8, 0.8, 1., 1., 0., 0.];[0.26957904, 0.18704302, 0.86635016, 0.58785822, 0.01497977, -0.00781279];[0.4598287, 0.27008565, 0.27008565];[0.53042096, 0.61295698, 0.13364984, 0.41214178, 0.01497977, 0.00781279]
[0.9, 0.9, 1., 1., 0., 0.];[0.33241364, 0.22689938, 0.90985788, 0.58062293, 0.02331328, -0.00427387];[0.47166641, 0.2641668, 0.2641668];[0.56758636, 0.67310062, 0.09014212, 0.41937707, 0.02331328, 0.00427387]
[1., 1., 1., 1., 0., 0.];[4.04341227e-01, 2.69244826e-01, 9.56802432e-01, 5.76885637e-01, 3.41827447e-02, 7.90645344e-04];[0.48475811, 0.25762094, 0.25762094];[0.59565877, 0.73075517, 0.04319757, 0.42311436, 0.03418274, 0.00079065]
[1.1, 1.1, 1., 1., 0., 0.];[0.48823331, 0.31601187, 1.00729332, 0.57594275, 0.04833114, 0.00738653];[0.49794953, 0.25102523, 0.25102523];[0.61176669, 0.78398813, 0.00729332, 0.42405725, 0.04833114, 0.00738653]
[1.2, 1.2, 1., 1., 0., 0.];[0.5905078, 0.37213398, 1.06061114, 0.57646301, 0.06731119, 0.0150381];[0.50889041, 0.24555479, 0.24555479];[0.6094922, 0.82786602, 0.06061114, 0.42353699, 0.06731119, 0.0150381]
[1.3, 1.3, 1., 1., 0., 0.];[0.72380177, 0.44761449, 1.11340233, 0.57496376, 0.09380193, 0.02185253];[0.51245992, 0.24377004, 0.24377004];[0.57619823, 0.85238551, 0.11340233, 0.42503624, 0.09380193, 0.02185253]
[1.4, 1.4, 1., 1., 0., 0.];[0.89320476, 0.54487367, 1.15425443, 0.56111559, 0.1240676, 0.02122635];[0.50127792, 0.24936104, 0.24936104];[0.50679524, 0.85512633, 0.15425443, 0.43888441, 0.1240676, 0.02122635]
[1.5, 1.5, 1., 1., 0., 0.];[1.05939894, 0.62578102, 1.16641422, 0.52292654, 0.13498253, 0.00750526];[0.48288433, 0.25855784, 0.25855784];[0.44060106, 0.87421898, 0.16641422, 0.47707346, 0.13498253, 0.00750526]
[1.6, 1.6, 1., 1., 0., 0.];[1.21809708, 0.69225244, 1.1628042, 0.4847182, 0.14004181, 0.00905234];[0.47595668, 0.26202166, 0.26202166];[0.38190292, 0.90774756, 0.1628042, 0.5152818, 0.14004181, 0.00905234]
[1.7, 1.7, 1., 1., 0., 0.];[1.37121658, 0.74874647, 1.15734989, 0.45187982, 0.14651437, 0.01486256];[0.48622698, 0.25688651, 0.25688651];[0.32878342, 0.95125353, 0.15734989, 0.54812018, 0.14651437, 0.01486256]
[1.8, 1.8, 1., 1., 0., 0.];[1.52099977, 0.79995827, 1.16436494, 0.43716749, 0.15958862, 0.03431852];[0.50867902, 0.24566049, 0.24566049];[0.27900023, 1.00004173, 0.16436494, 0.56283251, 0.15958862, 0.03431852]
[1.9, 1.9, 1., 1., 0., 0.];[1.66469969, 0.84223231, 1.18941269, 0.43519561, 0.17467102, 0.05433872];[0.53933947, 0.23033026, 0.23033026];[0.23530031, 1.05776769, 0.18941269, 0.56480439, 0.17467102, 0.05433872]
[2., 2., 1., 1., 0., 0.];[1.80371941, 0.87945243, 1.2363966, 0.45306505, 0.19420186, 0.08686154];[0.56886967, 0.21556516, 0.21556516];[0.19628059, 1.12054757, 0.2363966, 0.54693495, 0.19420186, 0.08686154]
[2.1, 2.1, 1., 1., 0., 0.];[1.93514127, 0.90606443, 1.29885058, 0.46938028, 0.20998134, 0.1048466];[0.59982702, 0.20008649, 0.20008649];[0.16485873, 1.19393557, 0.29885058, 0.53061972, 0.20998134, 0.1048466]
[2.2, 2.2, 1., 1., 0., 0.];[2.06567809, 0.9347198, 1.37604518, 0.51064323, 0.23248869, 0.15153092];[0.6159866, 0.1920067, 0.1920067];[0.13432191, 1.2652802, 0.37604518, 0.48935677, 0.23248869, 0.15153092]
[2.3, 2.3, 1., 1., 0., 0.];[2.17969569, 0.93685464, 1.46249734, 0.50175287, 0.23458463, 0.12285461];[0.65967459, 0.17016271, 0.17016271];[0.12030431, 1.36314536, 0.46249734, 0.49824713, 0.23458463, 0.12285461]
[2.4, 2.4, 1., 1., 0., 0.];[2.33486252, 1.00474692, 1.5696638, 0.66371557, 0.29617562, 0.3203865];[0.60781264, 0.19609368, 0.19609368];[0.06513748, 1.39525308, 0.5696638, 0.33628443, 0.29617562, 0.3203865]
[2.5, 2.5, 1., 1., 0., 0.];[2.42853447, 0.94134867, 1.95534026, 0.61937821, 0.28071119, 0.11371085];[0.87189903, 0.06405049, 0.06405049];[0.07146553, 1.55865133, 0.95534026, 0.38062179, 0.28071119, 0.11371085]
[2.6, 2.6, 1., 1., 0., 0.];[2.94362376, 1.41917552, 2.28874691, 1.28820779, 0.75454176, 1.00243451];[0.53817646, 0.23091177, 0.23091177];[0.34362376, 1.18082448, 1.28874691, 0.28820779, 0.75454176, 1.00243451]
